date,total_views,total_comments,total_likes,total_shares,avg_engagement_rate,avg_like_rate,avg_comment_rate,num_videos
2020-01-08,68,0,0,2,0,0,0,20
2020-01-09,149,0,0,2,0,0,0,23
2020-01-10,85,0,-1,1,-0.649350649350649,-0.649350649350649,0,22
2020-01-11,56,0,1,0,0.78125,0.78125,0,16
2020-01-12,46,0,0,0,0,0,0,15
2020-01-13,55,0,1,0,5,5,0,20
2020-01-14,108,0,3,1,1.170798898071625,1.170798898071625,0,22
2020-01-15,105,0,4,1,0.464576074332172,0.464576074332172,0,21
2020-01-16,83,0,1,1,0.5208333333333334,0.5208333333333334,0,24
2020-01-17,63,0,0,0,0,0,0,21
2020-01-18,117,0,1,3,0.20833333333333334,0.20833333333333334,0,24
2020-01-19,72,0,1,0,0.17857142857142855,0.17857142857142855,0,20
2020-01-20,59,0,1,0,1.25,1.25,0,16
2020-01-21,54,0,0,0,0,0,0,21
2020-01-22,81,1,1,0,0.625,0.3125,0.3125,20
2020-01-23,109,0,1,0,2.5,2.5,0,20
2020-01-24,78,0,1,0,0.25062656641604014,0.25062656641604014,0,21
2020-01-25,54,0,-1,0,-0.9259259259259259,-0.9259259259259259,0,18
2020-01-26,72,0,4,0,1.8027210884353737,1.8027210884353737,0,14
2020-01-27,116,0,2,4,-0.5079365079365079,-0.5079365079365079,0,21
2020-01-28,66,0,1,1,1.3157894736842104,1.3157894736842104,0,19
2020-01-29,74,0,1,1,0.34722222222222215,0.34722222222222215,0,18
2020-01-30,116,1,6,0,5.722789115646259,5.620748299319727,0.10204081632653063,20
2020-01-31,113,0,2,0,1.6980435585086742,1.6980435585086742,0,21
2020-02-01,70,2,4,2,9.830246913580247,8.82716049382716,1.0030864197530864,18
2020-02-02,60,1,1,3,1.1229946524064172,0.5882352941176472,0.53475935828877,17
2020-02-03,84,0,1,1,4.3939393939393945,4.3939393939393945,0,20
2020-02-04,102,0,2,0,0.55239898989899,0.55239898989899,0,24
2020-02-05,81,0,0,0,0,0,0,22
2020-02-06,79,0,0,0,0,0,0,21
2020-02-07,127,5,5,0,4.6649029982363315,3.0776014109347445,1.5873015873015872,27
2020-02-08,116,0,5,0,6.77257525083612,6.77257525083612,0,23
2020-02-09,79,0,3,1,3.695652173913043,3.695652173913043,0,23
2020-02-10,99,0,4,0,11.26482213438735,11.26482213438735,0,23
2020-02-11,94,0,3,0,1.5769944341372917,1.5769944341372917,0,21
2020-02-12,111,2,3,6,2.9398148148148144,1.5856481481481481,1.3541666666666667,24
2020-02-13,156,0,8,0,8.228742771471408,8.228742771471408,0,29
2020-02-14,76,0,3,0,6.418219461697722,6.418219461697722,0,23
2020-02-15,152,0,21,11,34.27784927784928,34.27784927784928,0,27
2020-02-16,100,1,3,1,1.967948717948718,1.8012820512820513,0.16666666666666669,20
2020-02-17,89,3,5,0,7.421563943303074,5.927695492912885,1.4938684503901896,23
2020-02-18,102,0,0,0,0,0,0,26
2020-02-19,116,1,0,1,0.30769230769230776,0,0.30769230769230776,25
2020-02-20,141,0,1,1,1.2345679012345683,1.2345679012345683,0,27
2020-02-21,164,1,6,3,2.7480158730158726,2.301587301587302,0.4464285714285715,28
2020-02-22,92,0,3,0,6.878306878306879,6.878306878306879,0,21
2020-02-23,113,0,1,0,0.4,0.4,0,25
2020-02-24,126,1,5,0,16.346153846153847,14.423076923076923,1.9230769230769231,26
2020-02-25,154,2,14,0,17.403674756615935,17.1705745235157,0.23310023310023303,26
2020-02-26,188,3,6,1,0.9093698854337151,0.6638707037643208,0.24549918166939444,26
2020-02-27,181,0,17,5,22.05406600567891,22.05406600567891,0,31
2020-02-28,160,1,3,1,2.4883790673264365,2.4171539961013644,0.07122507122507121,27
2020-02-29,160,1,5,0,1.766277939747328,1.6933916423712339,0.07288629737609328,28
2020-03-01,125,1,0,1,1.7543859649122802,0,1.7543859649122802,19
2020-03-02,217,3,12,5,2.0352478081946677,1.874217212381464,0.16103059581320453,27
2020-03-03,217,0,2,0,0.12345679012345678,0.12345679012345678,0,30
2020-03-04,251,0,3,0,0.6184541265186427,0.6184541265186427,0,28
2020-03-05,256,1,4,2,0.6416571933813314,0.575344196033851,0.06631299734748013,29
2020-03-06,265,0,3,7,1.9784047370254256,1.9784047370254256,0,29
2020-03-07,219,0,5,1,0.6049382716049381,0.6049382716049381,0,27
2020-03-08,146,0,1,2,0.15384615384615388,0.15384615384615388,0,25
2020-03-09,201,0,4,2,0.505050505050505,0.505050505050505,0,31
2020-03-10,244,0,5,1,1.4117965367965368,1.4117965367965368,0,30
2020-03-11,363,7,12,1,3.642077323717949,3.3090444711538454,0.3330328525641027,32
2020-03-12,269,3,8,3,1.921182266009852,1.7569786535303773,0.1642036124794746,29
2020-03-13,246,0,9,6,1.300563236047107,1.300563236047107,0,31
2020-03-14,256,0,2,1,-0.19432665321581133,-0.19432665321581133,0,31
2020-03-15,196,0,2,0,0.26350461133069825,0.26350461133069825,0,33
2020-03-16,263,3,10,2,2.65804032456356,1.8749077944430783,0.7831325301204818,35
2020-03-17,267,0,3,5,0.6067588325652842,0.6067588325652842,0,31
2020-03-18,239,0,6,3,1.4198538164703578,1.4198538164703578,0,35
2020-03-19,271,0,16,5,10.573902779785133,10.573902779785133,0,37
2020-03-20,231,1,7,0,3.1534111489423364,2.372161148942335,0.78125,32
2020-03-21,156,0,2,0,0.8766233766233767,0.8766233766233767,0,28
2020-03-22,182,1,4,1,2.7705112960760996,2.6516052318668257,0.11890606420927465,29
2020-03-23,154,0,1,0,0.17361111111111102,0.17361111111111102,0,24
2020-03-24,187,1,5,0,2.5222222222222217,1.9666666666666666,0.5555555555555555,30
2020-03-25,210,3,5,4,0.7834101382488482,0.2304147465437788,0.552995391705069,31
2020-03-26,235,3,9,2,3.6317465040869292,2.814230686571112,0.8175158175158176,33
2020-03-27,168,0,4,6,0.957107408720312,0.957107408720312,0,31
2020-03-28,130,0,-1,2,-0.2958579881656806,-0.2958579881656806,0,26
2020-03-29,149,1,2,10,1.1904761904761907,1.0262725779967161,0.16420361247947457,29
2020-03-30,311,3,8,3,0.1881950384944397,0.13686911890504708,0.05132591958939261,35
2020-03-31,278,1,7,0,0.7046287046287046,0.3712953712953714,0.33333333333333337,30
2020-04-01,285,0,4,4,3.3940750213128736,3.3940750213128736,0,34
2020-04-02,352,0,15,11,2.527023370773371,2.527023370773371,0,32
2020-04-03,381,2,7,5,2.3684840505117,2.3245955273605046,0.04388852315119595,31
2020-04-04,366,0,14,3,1.1868686868686869,1.1868686868686869,0,33
2020-04-05,437,4,21,3,1.8901135022896975,1.5506073294501916,0.33950617283950607,36
2020-04-06,596,2,14,17,2.113791594000803,1.7343273082865178,0.37946428571428575,40
2020-04-07,679,6,23,2,2.7740768256730077,2.3236608036343145,0.45041602203869274,39
2020-04-08,560,1,20,3,3.6849397651602978,3.667512090012162,0.01742767514813524,38
2020-04-09,614,2,21,11,4.681717949104767,4.170022042672018,0.5116959064327483,38
2020-04-10,591,0,18,4,5.774362570094466,5.774362570094466,0,37
2020-04-11,876,4,26,10,1.2207468763704845,0.9774635039111652,0.243283372459319,37
2020-04-12,759,12,35,7,9.649147449677546,8.485419909328806,1.1637275403487393,32
2020-04-13,988,6,26,7,0.34409931392914117,0.27226023346937145,0.07183908045977008,36
2020-04-14,1141,1,33,14,2.4982624711637,2.414087386988616,0.0841750841750842,36
2020-04-15,1244,1,28,3,3.0430236964940334,3.0005788747622844,0.04244482173174873,38
2020-04-16,1574,2,40,11,1.9962839857163226,1.9878223170752671,0.008461668641056014,38
2020-04-17,1905,3,48,16,-0.775052257209738,-0.8734095040386004,0.09835724682886257,35
2020-04-18,2160,7,45,18,7.730188974982746,7.086960006716298,0.6432289682664496,39
2020-04-19,2036,9,65,18,1.5001506036688566,1.1339271096914654,0.3662234939773912,41
2020-04-20,2569,4,64,40,1.5758127324334854,1.328458039933413,0.24735469250007258,36
2020-04-21,2589,1,55,39,0.9610482261512667,0.9591605789147822,0.001887647236484445,43
2020-04-22,2434,9,51,20,1.2929031136109777,0.8097522222327969,0.4831508913781806,38
2020-04-23,2754,18,75,21,3.3667102675103964,3.2252506401812036,0.1414596273291926,40
2020-04-24,2802,4,68,21,5.064909523127116,5.0374906124458825,0.027418910681233782,41
2020-04-25,2389,4,49,25,1.4556851434389504,1.2273999882189224,0.22828515522002787,39
2020-04-26,2362,8,60,28,1.0310492117345182,0.8746671285659934,0.15638208316852492,37
2020-04-27,3320,18,85,26,2.214933590637931,1.9996780706797546,0.21525551995817593,40
2020-04-28,3171,6,63,19,2.7465767271989545,2.6749590309964244,0.07161769620253042,41
2020-04-29,3625,3,83,34,2.0048132082737293,1.9807886558759364,0.0240245523977928,39
2020-04-30,3694,6,77,45,1.1094673678912765,0.9429094705495957,0.16655789734168075,43
2020-05-01,3824,4,76,34,2.580449164431154,2.550223417732998,0.030225746698155913,41
2020-05-02,3537,6,79,33,1.5822268549352356,1.5343982154467655,0.0478286394884705,41
2020-05-03,3349,1,58,23,1.3288787197826226,1.3049036538511913,0.02397506593143132,43
2020-05-04,4675,9,110,26,1.510723874737094,1.4917140690241557,0.019009805712938206,44
2020-05-05,4127,4,85,21,4.226881163727278,2.7585037269037525,1.4683774368235254,46
2020-05-06,4075,5,103,24,5.981324501408601,4.841112218148189,1.140212283260412,44
2020-05-07,4632,1,100,27,2.1206955393716624,2.1025269347205,0.018168604651162802,43
2020-05-08,4534,1,92,31,1.8474992772665877,1.8424829742818876,0.0050163029847002764,45
2020-05-09,4876,3,98,32,1.2662301473845499,1.258727605809986,0.007502541574563733,45
2020-05-10,4404,10,86,25,2.4199292346586088,2.3025432748813457,0.11738595977726411,46
2020-05-11,4871,5,101,38,2.8636178980732536,2.544640956468476,0.31897694160477713,47
2020-05-12,5520,7,96,20,6.637576814745298,5.438408294964375,1.1991685197809236,47
2020-05-13,6980,9,137,40,3.564436939336733,2.486077806243888,1.0783591330928444,48
2020-05-14,6975,7,128,36,1.9990622543520977,1.685335575640395,0.3137266787117028,48
2020-05-15,7643,12,139,47,5.646605486674679,4.318533667115774,1.3280718195589054,46
2020-05-16,8509,4,168,41,2.6704829225626883,2.2597690457189583,0.4107138768437303,48
2020-05-17,7348,4,139,58,1.2711718732517183,1.2457992348446043,0.025372638407114168,46
2020-05-18,8908,20,189,32,1.9900485405646384,1.9069182202850878,0.08313032027955085,49
2020-05-19,9264,22,200,43,2.9663731008461633,2.8965878673776424,0.06978523346852089,50
2020-05-20,9061,13,161,49,2.3350523599059523,2.2572025013810957,0.07784985852485661,50
2020-05-21,9964,12,180,27,2.5279641697908795,2.4539244506822326,0.07403971910864736,50
2020-05-22,10737,15,208,47,1.8991983657972098,1.824868248822843,0.07433011697436694,49
2020-05-23,8891,3,151,34,2.2873617938985977,2.256136804524342,0.031224989374255836,50
2020-05-24,8948,39,173,42,3.062977825900456,2.1198376001100607,0.9431402257903954,50
2020-05-25,9617,5,157,45,2.9958087273949325,2.9321755970514167,0.06363313034351555,50
2020-05-26,9820,6,132,40,0.9279128350283888,0.8903874761108904,0.03752535891749843,50
2020-05-27,10132,8,166,36,2.1225992858486027,2.056370751365005,0.06622853448359751,50
2020-05-28,10435,7,168,46,2.486580000058225,2.4155832298387065,0.07099677021951813,49
2020-05-29,9904,6,165,49,1.1140661285972304,1.0655719676253823,0.04849416097184799,50
2020-05-30,8229,3,130,40,3.35338863614522,3.3148390948332462,0.038549541311972246,49
2020-05-31,8370,6,122,51,2.498044163855424,2.006457621709218,0.4915865421462062,50
2020-06-01,10124,7,135,32,1.444642036494911,1.3849837566286989,0.059658279866212305,50
2020-06-02,10647,7,148,37,1.9859644880931495,1.9645607620515133,0.021403726041636175,50
2020-06-03,10146,7,138,27,1.8262692031366177,1.7762706773098973,0.049998525826720444,50
2020-06-04,9151,2,139,27,0.9079994366672209,0.9032435997437499,0.004755836923471076,49
2020-06-05,8744,8,103,28,1.1825496948152294,1.1343659653072478,0.04818372950798167,49
2020-06-06,7899,22,125,38,1.725917693292538,1.546979528346067,0.17893816494647088,50
2020-06-07,8442,6,133,55,2.8624443426240034,2.804624487637328,0.05781985498667521,49
2020-06-08,10005,13,153,28,1.2444920422145258,1.1196059824104638,0.12488605980406192,49
2020-06-09,10761,10,155,34,1.0313817097252969,0.9864348471913489,0.044946862533947904,51
2020-06-10,11522,7,161,33,1.1532576900271438,1.1261496248235088,0.027108065203635356,50
2020-06-11,11703,6,178,46,2.128506466758222,2.0859553918852103,0.04255107487301142,51
2020-06-12,12069,4,181,52,3.4883667702413304,3.476166721214156,0.012200049027173771,51
2020-06-13,9812,2,158,59,1.7701078889998878,1.7620010336374015,0.008106855362486244,51
2020-06-14,8988,5,144,63,1.120809164500701,1.1052071976041975,0.015601966896503297,51
2020-06-15,11487,8,197,59,2.4521117016236635,2.4253594156096616,0.026752286014002407,50
2020-06-16,9668,7,141,20,2.2945566906699533,2.0915979468255785,0.2029587438443746,51
2020-06-17,9693,4,121,39,1.9105140549598865,1.8681645627743428,0.04234949218554362,51
2020-06-18,9680,10,113,23,4.190899828753774,1.4426142771593975,2.7482855515943734,51
2020-06-19,8027,4,99,19,1.5487996314896664,1.4798184564210932,0.06898117506857279,50
2020-06-20,6560,2,82,32,1.1689317565789898,1.1603243471773956,0.008607409401594353,50
2020-06-21,6549,5,97,18,1.940170082129678,1.7644849067902337,0.17568517533944428,49
2020-06-22,7183,3,103,34,3.8766612491607684,1.8952322965177988,1.9814289526429694,51
2020-06-23,7027,1,107,26,1.7634125423973894,1.7623293065552819,0.0010832358421075433,49
2020-06-24,7520,5,91,23,1.234391643190805,1.1514654690627633,0.08292617412804149,50
2020-06-25,8004,6,104,31,0.8960923443360735,0.7946440882622576,0.10144825607381583,51
2020-06-26,7153,2,94,26,1.5311641434842465,1.4856299480709214,0.04553419541332516,51
2020-06-27,5386,0,84,15,1.534840914284568,1.534840914284568,0,51
2020-06-28,5321,3,70,31,1.424995299652193,1.344856598053272,0.08013870159892128,50
2020-06-29,6675,1,77,20,2.1328209212223466,2.1291421514029745,0.0036787698193724017,51
2020-06-30,7207,2,93,18,1.9325379963364333,1.603864262089944,0.3286737342464896,51
2020-07-01,7276,3,62,24,0.8547834386615036,0.8076912844921433,0.04709215416936004,48
2020-07-02,7594,32,117,31,0.23504252334992196,-0.2511475117605097,0.4861900351104303,51
2020-07-03,7485,8,91,35,1.517246383920791,1.3157343737403797,0.20151201018041112,52
2020-07-04,5460,3,66,24,2.024218820492672,1.9887732942398595,0.03544552625281227,50
2020-07-05,5419,8,75,20,2.2059793434065065,1.871965303031753,0.33401404037475346,52
2020-07-06,6483,2,75,23,0.9432458227063637,0.8822429957460901,0.061002826960273746,52
2020-07-07,6969,3,84,18,1.0366021747558425,0.9961886595853522,0.040413515170490286,50
2020-07-08,7200,4,100,20,6.7372367257190575,6.728721732869371,0.008514992849686806,52
2020-07-09,7219,5,103,19,1.7142116593678216,1.6600658899886334,0.05414576937918829,51
2020-07-10,6990,6,92,21,1.2696399465156247,1.2204890629511242,0.049150883564500446,51
2020-07-11,6218,1,64,24,1.0546935135955555,1.0490100808021483,0.005683432793407219,51
2020-07-12,6047,2,87,25,1.7053042309195228,1.7002965839407722,0.005007646978750453,51
2020-07-13,7389,2,74,27,1.0901062591638293,1.0883687453723137,0.0017375137915157208,51
2020-07-14,7219,1,90,19,2.509201835673626,2.5061347273433596,0.003067108330266225,52
2020-07-15,7887,14,109,30,1.2055554573885505,1.0313653972496462,0.1741900601389046,49
2020-07-16,7204,3,110,31,2.2983007871295325,2.281353857659461,0.016946929470071502,52
2020-07-17,6416,5,85,33,1.5768121231947285,1.544140392017816,0.032671731176912806,53
2020-07-18,5700,4,78,28,0.6928438242581009,0.6489469728374603,0.0438968514206405,51
2020-07-19,5265,1,71,34,2.2332326897335535,2.232143946252405,0.0010887434811484068,53
2020-07-20,7155,15,112,30,1.6983189311998403,1.5769399469448344,0.121378984255006,54
2020-07-21,7101,2,79,20,0.539613635145826,0.5356920547771166,0.003921580368709568,51
2020-07-22,7069,6,89,23,1.0252510526334022,0.8524037052647783,0.1728473473686239,53
2020-07-23,7900,9,133,57,1.7567155369258296,1.645714348847184,0.11100118807864538,53
2020-07-24,7790,18,129,34,1.2938840346462919,1.0635570822915936,0.23032695235469824,55
2020-07-25,6551,4,93,37,1.6075960200747157,1.5714141893261429,0.036181830748573306,53
2020-07-26,6387,3,93,16,1.2245586917136664,1.2180783096508414,0.0064803820628250375,55
2020-07-27,8180,8,136,38,1.6227218064152045,1.5983026301425443,0.024419176272659604,56
2020-07-28,9111,5,156,37,1.3430125354524824,1.1546289840427464,0.18838355140973634,56
2020-07-29,8718,7,133,31,1.598755672751744,1.4526755700691103,0.14608010268263366,56
2020-07-30,8820,7,134,33,1.557903607606848,1.4745545471251473,0.08334906048170057,56
2020-07-31,8610,3,127,45,3.2320921116685604,3.2260597504062734,0.006032361262287613,56
2020-08-01,7072,1,103,25,3.07113007453885,3.070187034176722,9.430403621274985e-4,55
2020-08-02,6726,10,99,38,2.304562857772656,1.9796672957502146,0.32489556202244074,55
2020-08-03,9003,4,123,26,4.674669189004191,4.664790318109698,0.009878870894493373,56
2020-08-04,9415,12,174,44,3.741264558694376,3.675846107407693,0.06541845128668278,56
2020-08-05,8972,7,138,59,1.712553522650787,1.6688236004036698,0.04372992224711718,56
2020-08-06,9153,7,135,47,1.2760721520753775,1.2458874867809888,0.030184665294388704,56
2020-08-07,9298,9,147,49,2.0242707997316938,1.9043615215135927,0.11990927821810117,57
2020-08-08,7593,7,129,30,1.438151193143804,1.3926347167941244,0.045516476349679674,57
2020-08-09,6759,3,103,33,1.0465185499792782,1.0236007944388268,0.022917755540451532,57
2020-08-10,9500,8,164,66,1.4721337834578574,1.4258145680708558,0.0463192153870015,58
2020-08-11,9087,6,126,38,0.9587523940716518,0.9146515317727891,0.04410086229886273,58
2020-08-12,9456,8,142,39,1.0995095640425248,1.0801283745228054,0.019381189519719216,58
2020-08-13,9935,9,141,33,1.5404159312778696,1.3570262899261816,0.18338964135168812,59
2020-08-14,9807,6,124,46,0.8478361807366765,0.7891166014341382,0.05871957930253843,58
2020-08-15,7865,4,112,32,0.7837097650038601,0.7247421619274196,0.05896760307644051,58
2020-08-16,7794,3,123,43,1.4635934139371929,1.431023188051618,0.03257022588557491,58
2020-08-17,10727,10,188,61,1.0810878179534806,1.0443298500031883,0.03675796795029243,60
2020-08-18,10810,9,178,47,1.2815372185768754,1.116507185193382,0.16503003338349337,60
2020-08-19,10930,9,147,65,0.914601445279312,0.8832820375387017,0.031319407740610115,59
2020-08-20,11612,8,191,48,1.2650569209122091,1.2071345785896217,0.05792234232258734,61
2020-08-21,11358,8,155,59,1.0896745619527515,1.0130560283638563,0.07661853358889506,61
2020-08-22,9927,10,188,40,2.0977980888398293,1.7954074264727289,0.3023906623671005,61
2020-08-23,9639,2,151,41,1.1636524403261976,1.1612597952354171,0.002392645090780641,60
2020-08-24,10223,5,168,40,1.6295398501314453,1.5956626164635377,0.03387723366790782,60
2020-08-25,10818,7,160,31,2.1075698795188957,2.040024910259501,0.06754496925939438,61
2020-08-26,11601,12,203,60,2.5446001458549627,2.4938512964689066,0.05074884938605675,59
2020-08-27,11073,13,171,41,2.81874882125126,2.742178150063363,0.07657067118789695,61
2020-08-28,9863,3,133,45,2.555997025677194,2.550423662622996,0.005573363054197348,62
2020-08-29,8186,8,114,56,1.4923320965303666,1.335875741027687,0.1564563555026799,61
2020-08-30,8124,4,134,34,3.2127307871803423,3.2087193760163184,0.004011411164023839,60
2020-08-31,9617,9,155,57,2.8477607407252923,2.8106674959683806,0.03709324475691136,63
2020-09-01,10176,4,143,52,1.085131778691935,1.0627809318927284,0.02235084679920644,63
2020-09-02,10066,3,162,48,2.4354348188607524,2.391995100242938,0.04343971861781492,61
2020-09-03,10279,5,147,37,2.0164505483497326,1.9983785968662624,0.018071951483469822,60
2020-09-04,11258,7,171,43,1.1677983414525113,1.1187306940542419,0.04906764739826932,61
2020-09-05,9305,3,144,46,1.6236133820808563,1.5491892388888044,0.07442414319205147,63
2020-09-06,8469,4,153,45,3.1403049533687377,2.8992005381214363,0.24110441524730097,62
2020-09-07,10231,6,154,26,3.807600475742933,3.798517989846015,0.009082485896916785,61
2020-09-08,11113,7,175,49,2.329347997168322,2.2004981573466513,0.1288498398216704,63
2020-09-09,10856,3,180,30,1.930805902466881,1.928487443723162,0.002318458743719265,61
2020-09-10,12050,10,190,49,1.2590317556727189,1.174486916298436,0.08454483937428307,62
